Date,000001.SH,T.CFE,NH0100.NHF,SPX.GI,TY.CBT,CRB.RB
2018-01-02,3348.3259,92.64,1422.97,2695.81,123.6875,194.72
2018-01-03,3369.1084,92.635,1417.58,2713.06,123.8125,195.35
2018-01-04,3385.7102,92.465,1425.7,2723.99,123.6563,195.37
2018-01-05,3391.7501,92.45,1421.28,2743.15,123.4844,193.45
2018-01-08,3409.4795,92.655,1427.7,2747.71,123.4844,192.92
2018-01-09,3413.8996,92.645,1430.53,2751.29,123.0469,194.16
2018-01-10,3421.8343,92.34,1426.44,2748.23,123,194.86
2018-01-11,3425.3449,92.13,1429.46,2767.56,123.0625,195.16
2018-01-12,3428.9407,92.275,1420.62,2786.24,122.9531,196.06
2018-01-15,3410.4882,92.04,1420.11,2786.24,122.9531,196.06
2018-01-16,3436.594,91.97,1404.8,2776.42,122.9688,195.11
2018-01-17,3444.6713,91.75,1402.03,2802.56,122.5781,196.4
2018-01-18,3474.754,91.495,1405.33,2798.03,122.4219,196.34
2018-01-19,3487.864,91.505,1410.07,2810.3,122.125,195.5
2018-01-22,3501.3622,91.79,1412.81,2832.97,122.1875,196.22
2018-01-23,3546.5048,91.755,1408.26,2839.13,122.5,196.94
2018-01-24,3559.4653,91.77,1405.2,2837.54,122.2188,199.51
2018-01-25,3548.307,91.885,1423.81,2839.25,122.4219,199.34
2018-01-26,3558.1288,91.905,1416.22,2872.87,122.0625,200.52
2018-01-29,3523.0007,91.865,1417.5,2853.53,121.8438,199.54
2018-01-30,3488.009,91.785,1405.81,2822.43,121.6406,198.14
2018-01-31,3480.8334,91.94,1402.74,2823.81,121.5938,197.38
2018-02-01,3446.9799,92.13,1395.54,2821.98,121.0938,198.35
2018-02-02,3462.0808,91.97,1403.66,2762.13,120.8125,197.44
2018-02-05,3487.497,91.755,1409.32,2648.94,122,195.611
2018-02-06,3370.652,92.095,1400.68,2695.14,121.2188,195.078
2018-02-07,3309.2598,92.145,1404.44,2681.66,121.0625,192.152
2018-02-08,3262.0504,91.825,1395.37,2581,121.0313,191.613
